model,basin,name,lead,CRPS,coverage90,reliability_TV,spread_skill,n
CMAL,camels_11473900,,5,0.8984213521443742,0.6123287671232877,0.3136986301369863,2.704356028394273,730
deterministic,camels_11473900,,5,1.3046764967376239,,,,730
CMAL,camels_11473900,,6,0.8802618937906834,0.6219178082191781,0.30000000000000004,3.3366136605045216,730
deterministic,camels_11473900,,6,1.3141488983206553,,,,730
CMAL,camels_11473900,,7,0.8957037771931912,0.6246575342465753,0.3054794520547945,2.2998255901802693,730
deterministic,camels_11473900,,7,1.3904536444846898,,,,730
CMAL,camels_11475560,,0,0.9684624369272002,0.6383561643835617,0.2595890410958904,2.0475733713990008,730
deterministic,camels_11475560,,0,1.5438822117570328,,,,730
CMAL,camels_11475560,,1,1.249634045450165,0.6136986301369863,0.28630136986301374,4.4666670306889324,730
deterministic,camels_11475560,,1,1.7492209005845736,,,,730
CMAL,camels_11475560,,2,1.2478849667151426,0.6219178082191781,0.27808219178082194,3.660951649328825,730
deterministic,camels_11475560,,2,1.7526954892563493,,,,730
CMAL,camels_11475560,,3,1.2333708177967206,0.6273972602739726,0.2787671232876712,2.1633568725401133,730
deterministic,camels_11475560,,3,1.8002044896556906,,,,730
CMAL,camels_11475560,,4,1.2215965165142577,0.6328767123287671,0.27945205479452057,3.742983359595862,730
deterministic,camels_11475560,,4,1.737376508402498,,,,730
CMAL,camels_11475560,,5,1.240778357723576,0.6301369863013698,0.2746575342465753,2.8161335362296684,730
deterministic,camels_11475560,,5,1.8382676064151606,,,,730
CMAL,camels_11475560,,6,1.2756969682015542,0.6602739726027397,0.25616438356164384,2.232861658616868,730
deterministic,camels_11475560,,6,1.910819552042713,,,,730
CMAL,camels_11475560,,7,1.3582811857132673,0.6493150684931507,0.2897260273972603,1.9182475533236991,730
deterministic,camels_11475560,,7,2.0899760459383874,,,,730
CMAL,camels_11476600,,0,0.9046735801960198,0.7986301369863014,0.2547945205479452,3.8228774920494644,730
deterministic,camels_11476600,,0,1.5941291401647542,,,,730
CMAL,camels_11476600,,1,1.3060009313895053,0.7410958904109589,0.2801369863013699,2.5642760300567518,730
deterministic,camels_11476600,,1,1.8391326945121975,,,,730
CMAL,camels_11476600,,2,1.3002318113297038,0.7452054794520548,0.28150684931506853,4.036436095780857,730
deterministic,camels_11476600,,2,1.8228300248106866,,,,730
CMAL,camels_11476600,,3,1.3158818510488604,0.7520547945205479,0.28150684931506853,5.000357867860425,730
deterministic,camels_11476600,,3,1.8803653915450997,,,,730
CMAL,camels_11476600,,4,1.284436934837177,0.7397260273972602,0.2746575342465753,2.722851516103969,730
deterministic,camels_11476600,,4,1.821093163669926,,,,730
CMAL,camels_11476600,,5,1.3612547765356096,0.736986301369863,0.26917808219178085,2.6329102844093617,730
deterministic,camels_11476600,,5,1.9583814967985023,,,,730
CMAL,camels_11476600,,6,1.3505187056986026,0.7273972602739726,0.2767123287671233,3.8153833966218933,730
deterministic,camels_11476600,,6,2.081511873578372,,,,730
CMAL,camels_11476600,,7,1.4142085320767457,0.7150684931506849,0.2732876712328767,3.2696873924741294,730
deterministic,camels_11476600,,7,2.2130652319078576,,,,730
CMAL,camels_11478500,,0,1.1789783111276666,0.9013698630136986,0.08835616438356164,4.039464523304089,730
deterministic,camels_11478500,,0,1.7505386353355565,,,,730
CMAL,camels_11478500,,1,1.5208322103732443,0.8780821917808219,0.10410958904109589,3.1419258328683113,730
deterministic,camels_11478500,,1,2.0961317657607874,,,,730
CMAL,camels_11478500,,2,1.5578940120053901,0.8643835616438356,0.11917808219178083,2.5648794248461324,730
deterministic,camels_11478500,,2,2.0783338985214495,,,,730
CMAL,camels_11478500,,3,1.5843807557827023,0.8698630136986302,0.13013698630136988,3.560276660318753,730
deterministic,camels_11478500,,3,2.1817401148685036,,,,730
CMAL,camels_11478500,,4,1.5735470945275116,0.8465753424657534,0.14178082191780822,3.6864785373240894,730
deterministic,camels_11478500,,4,2.1464871022799246,,,,730
CMAL,camels_11478500,,5,1.6213645780044752,0.8465753424657534,0.11369863013698633,3.1875953500240803,730
deterministic,camels_11478500,,5,2.254165707222403,,,,730
CMAL,camels_11478500,,6,1.6525100272468136,0.8205479452054795,0.12397260273972606,4.34725222965831,730
deterministic,camels_11478500,,6,2.308473797530344,,,,730
CMAL,camels_11478500,,7,1.7119453749075895,0.7986301369863014,0.16438356164383566,2.824842894152831,730
deterministic,camels_11478500,,7,2.4047519826725736,,,,730
CMAL,camels_11480390,,0,0.9626320261581512,0.8438356164383561,0.2164383561643836,3.936340144725109,730
deterministic,camels_11480390,,0,1.2578054104765801,,,,730
CMAL,camels_11480390,,1,1.1105476606492617,0.8246575342465754,0.20684931506849316,3.628030661584861,730
deterministic,camels_11480390,,1,1.4747977532752572,,,,730
CMAL,camels_11480390,,2,1.110775703652192,0.8356164383561644,0.18767123287671236,2.912235337800782,730
deterministic,camels_11480390,,2,1.4899200238593637,,,,730
CMAL,camels_11480390,,3,1.1063628663564253,0.8452054794520548,0.1780821917808219,2.2990011530183967,730
deterministic,camels_11480390,,3,1.5450218088822822,,,,730
CMAL,camels_11480390,,4,1.097691605807454,0.8465753424657534,0.17123287671232879,4.015138407483803,730
deterministic,camels_11480390,,4,1.5833694320835479,,,,730
CMAL,camels_11480390,,5,1.1211446628249482,0.8342465753424657,0.18219178082191784,3.992180296154259,730
deterministic,camels_11480390,,5,1.6089126014546171,,,,730
CMAL,camels_11480390,,6,1.1779683189256296,0.8191780821917808,0.1986301369863014,3.374096661115173,730
deterministic,camels_11480390,,6,1.7046783853883614,,,,730
CMAL,camels_11480390,,7,1.2229629475735946,0.8013698630136986,0.22465753424657536,2.3583318004741383,730
deterministic,camels_11480390,,7,1.8071560251386198,,,,730
CMAL,camels_11481200,,0,0.8359670269900819,0.7397260273972602,0.36438356164383556,2.9908764929043397,730
deterministic,camels_11481200,,0,1.102610363127434,,,,730
CMAL,camels_11481200,,1,1.089435181455013,0.7041095890410959,0.4034246575342466,2.340131840730468,730
deterministic,camels_11481200,,1,1.3553097626117812,,,,730
CMAL,camels_11481200,,2,1.1291175688104835,0.689041095890411,0.38698630136986306,2.590836818639806,730
deterministic,camels_11481200,,2,1.3587852046097795,,,,730
CMAL,camels_11481200,,3,1.173157703487984,0.6753424657534246,0.3938356164383562,3.1743104586620814,730
deterministic,camels_11481200,,3,1.4775970240161844,,,,730
CMAL,camels_11481200,,4,1.2081930549081161,0.6671232876712329,0.4054794520547945,3.7040385093903416,730
deterministic,camels_11481200,,4,1.5485177090723221,,,,730
CMAL,camels_11481200,,5,1.281011594950105,0.6589041095890411,0.4123287671232877,2.897245696451795,730
deterministic,camels_11481200,,5,1.5884889218088698,,,,730
CMAL,camels_11481200,,6,1.3604722660588593,0.6506849315068494,0.4109589041095891,4.163512050493114,730
deterministic,camels_11481200,,6,1.6649638262513566,,,,730
CMAL,camels_11481200,,7,1.4568394216881362,0.6342465753424658,0.4027397260273973,3.3805384743800646,730
deterministic,camels_11481200,,7,1.822377568646653,,,,730
CMAL,camels_11482500,,0,0.6534110254531851,0.7616438356164383,0.21027397260273975,3.8873717112521846,730
deterministic,camels_11482500,,0,0.9694342112704499,,,,730
CMAL,camels_11482500,,1,0.8378371583329662,0.7287671232876712,0.2410958904109589,2.630089981625238,730
deterministic,camels_11482500,,1,1.1435800387434762,,,,730
CMAL,camels_11482500,,2,0.8541618376159175,0.7246575342465753,0.25000000000000006,2.2826301120891572,730
deterministic,camels_11482500,,2,1.1946202551665372,,,,730
CMAL,camels_11482500,,3,0.8538070905088592,0.7041095890410959,0.2294520547945206,2.929415150767903,730
