basin,variant,lead,n,issue_date_first,issue_date_last,valid_date_first,valid_date_last,coverage90,crps
camels_11478500,raw,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.8388888888888889,1.6355042758564422
camels_11478500,raw,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.8105849582172702,1.6781263066111993
camels_11478500,raw,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.7891061452513967,1.7457581282486692
camels_11480390,raw,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.8410958904109589,0.9627712332709248
camels_11480390,raw,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.8228021978021978,1.1164498373028497
camels_11480390,raw,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.8347107438016529,1.1133695445789304
camels_11480390,raw,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.835635359116022,1.117615539347985
camels_11480390,raw,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.8337950138504155,1.1147493967813131
camels_11480390,raw,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.8319444444444445,1.1367337747265933
camels_11480390,raw,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.8217270194986073,1.1903544874164247
camels_11480390,raw,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.7932960893854749,1.2483092037851053
camels_11481200,raw,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.7424657534246575,0.8380810134919203
camels_11481200,raw,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.6991758241758241,1.090394609509782
camels_11481200,raw,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.6873278236914601,1.1330386159692905
camels_11481200,raw,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.68646408839779,1.1854889557407142
camels_11481200,raw,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.6662049861495845,1.2243103784254759
camels_11481200,raw,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.6472222222222223,1.2989216166262005
camels_11481200,raw,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.6406685236768802,1.3837332630226626
camels_11481200,raw,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.6229050279329609,1.4845644935317126
camels_11482500,raw,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.763013698630137,0.6552886305180923
camels_11482500,raw,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.7293956043956044,0.8413794940816364
camels_11482500,raw,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.7176308539944903,0.8570755929149749
camels_11482500,raw,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.7044198895027625,0.8633067340316648
camels_11482500,raw,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.7063711911357341,0.8829690056061322
camels_11482500,raw,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.6986111111111111,0.9584049225640656
camels_11482500,raw,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.6768802228412256,1.0335306774484883
camels_11482500,raw,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.6578212290502793,1.1314135738856415
camels_11522500,raw,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.8054794520547945,0.6354108693405446
